"Story","Title","Result","Date","Stability","Duration (s)"
"Add to cart","The user can add products to cart by clicking ""Add to cart"" button of each product on homepage","SUCCESS","2022-05-21T16:21:04.1883377+07:00[Asia/Bangkok]","0.0","12.68"
"Add to cart","The user can add products to cart by clicking ""Add to cart"" button in product detail page of each product","SUCCESS","2022-05-21T16:21:21.6927433+07:00[Asia/Bangkok]","0.0","11.97"
"Change the quantity of each product in the cart","The user can change the quantity of each product in the cart by typing in input number","SUCCESS","2022-05-21T16:21:35.1002862+07:00[Asia/Bangkok]","0.0","12.57"
"Change the quantity of each product in the cart","The user can increase the number of products by clicking the Up icon","SUCCESS","2022-05-21T16:21:48.6235725+07:00[Asia/Bangkok]","0.0","12.84"
"Change the quantity of each product in the cart","The user can increase the number of products by clicking the Down icon","SUCCESS","2022-05-21T16:22:02.309887+07:00[Asia/Bangkok]","0.0","15.65"
"Contact","The phone number in hotline section is correct","SUCCESS","2022-05-21T16:22:18.8590733+07:00[Asia/Bangkok]","0.0","5.21"
"Contact","The email in email section is correct","SUCCESS","2022-05-21T16:22:24.9821414+07:00[Asia/Bangkok]","0.0","7.41"
"Contact","The address in address section is correct","SUCCESS","2022-05-21T16:22:33.2321478+07:00[Asia/Bangkok]","0.0","6.28"
"Filter Products","Related products will appear when selecting one or more options in the Camera angle","SUCCESS","2022-05-21T16:22:40.5108076+07:00[Asia/Bangkok]","0.0","7.59"
"Filter Products","Related products will disappear when unselecting one or more options in the Camera angle","SUCCESS","2022-05-21T16:22:49.0863883+07:00[Asia/Bangkok]","0.0","7.6"
"Filter Products","Related products will appear when selecting one or more options in the Connection type","SUCCESS","2022-05-21T16:22:57.4633292+07:00[Asia/Bangkok]","0.0","11.24"
"Filter Products","Related products will disappear when unselecting one or more options in the Connection type","SUCCESS","2022-05-21T16:23:09.5791312+07:00[Asia/Bangkok]","0.0","9.9"
"Order","The user can order successfully with all products in cart","SUCCESS","2022-05-21T16:23:20.3572029+07:00[Asia/Bangkok]","0.0","18.29"
"Remove product from cart","The user can clear cart when clicking ""Delete all"" button","SUCCESS","2022-05-21T16:23:40.0775679+07:00[Asia/Bangkok]","0.0","16.71"
"Remove product from cart","The user can remove any product by clicking ""Delete"" button","SUCCESS","2022-05-21T16:23:57.9414986+07:00[Asia/Bangkok]","0.0","22.64"
"Search","The related product will appear when the user performs the search function","SUCCESS","2022-05-21T16:24:20.7808581+07:00[Asia/Bangkok]","0.0","6.65"
"Search","When the user deletes data in the search button, all products appear","SUCCESS","2022-05-21T16:24:28.3877905+07:00[Asia/Bangkok]","0.0","6.73"
"Search","The warning appears when the user searches for a product that doesn't exist","SUCCESS","2022-05-21T16:24:36.0025841+07:00[Asia/Bangkok]","0.0","6.48"
